name,folder,img,magnitude,nonVariant,type,traits,description
Animate (Substance),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,sorcery,Concentration,"<p>This spell allows the sorcerer to animate the substance indicated, up to one
SIZ for every point of magnitude. The sorcerer can cause it to move about and
interact, albeit relatively clumsily (Movement of 1m per three points of
magnitude).</p> <p>The sorcerer’s chance to have the animated object perform any
physical skill successfully is equal to half their own chance to perform that
action (before any modifiers). If the appropriate Form/Set spell is cast
immediately after this spell, the caster can perform much finer manipulation of
the object. In this case, the animated object will use the caster’s full skill
scores for physical activities.</p> <p>This spell can only be used on inanimate
matter.</p>"
Cast Back,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This protective spell shields the caster from hostile magic and has a chance
of sending it back to the attacking spell caster.</p> <p>Cast Back only affects
spells that target the user specifically and have the Resist trait. Such spells
may affect the protected character normally, but if it is resisted, the spell is
launched back at the person who cast it, as long as its magnitude is not greater
than the Cast Back’s magnitude.</p>"
Create Godform (Deity),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Touch,"<p>This spell can be cast on a recipient other than the caster. It allows the
recipient to assume the magical form of the deity for the duration of the spell.
While not quite the same as becoming the god itself, it allows the recipient to
assume some of the powers of the deity.</p> <p>While the spell is in operation,
the recipient gains:</p> <ul> <li>+20% in all the skills that the deity
teaches.</li> <li>Each magnitude of the spell beyond the first allows the
recipient to learn and cast one point of the deity’s Divine or Personal Magic
for the duration of the spell. Divine Magic is one use, and Personal Magic must
be paid for from the recipients’ magic points. </li> <li>The recipient knows
anything the deity would know.</li> <li>This is an exceptionally powerful spell,
whose use and knowledge automatically puts the sorcerer on the enemy list of the
deity’s cult, should they find out that the sorcerer knows how to Godform their
god.</li> </ul> <p>If the spell is fumbled, one of the following events, or one
similar from the Referee’s fertile imagination, occurs: </p> <ul> <li>The deity
sends one of its guardians, an Otherworld servant, to exact divine vengeance
upon the sorcerer.</li> <li>The deity transports the sorcerer and all ‘helpers’
to their court in the Houses of the Holy to explain themselves.</li> <li>The
deity tells a local priest of the sorcerer’s heresy and makes it clear that it
is their temple’s job to exact revenge on their deity’s behalf.</li> </ul>"
Damage Boosting,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Touch,"<p>This spell can be cast upon any weapon up to 5 ENC. Each point of magnitude
adds one point to the weapon’s damage (e.g. the basic spell will increase a
hatchet from 1D6 damage to 1D6+1 damage).</p>"
Damage Resistance,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Touch,"<p>This spell protects the body of the recipient. Any incoming attack dealing
damage equal to or less than the magnitude of the spell is ignored. Any incoming
attack dealing more damage than the magnitude of Damage Resistance is unaffected
and will deal its full damage as normal. Note, the protected character may still
suffer from Knockback if applicable.</p> <p>Damage Resistance may be combined
with the Divine Magic spell Shield, in which case incoming damage is compared to
the Damage Resistance spell first and only encounters the Shield spell if the
Damage Resistance is bypassed.</p>"
Diminish (characteristic),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Resist (Persistence/Resilience), Touch","<p>There are seven Diminish spells, one for each characteristic. The spell will
temporarily apply a penalty to the specified characteristic equal to the
magnitude of the spell. The penalty applied by this spell may not reduce a
characteristic below one, and a creature must have the characteristic in
question to be affected by this spell.</p> <p>Diminish (STR, DEX, CON and SIZ)
are resisted with Resilience. Diminish (INT, POW and CHA) are resisted with
Persistence.</p> <p>Applying a penalty to POW does not reduce the character’s
magic points.</p> <p>Note that not all uses of this spell are malicious. Thieves
and others often value the timely use of a Diminish (SIZ) spell, as it can
greatly enhance their ability to enter restricted areas.</p>"
Dominate (Species),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Resist (Persistence),"<p>This spell allows the caster to gain control over a creature belonging to a
specific species. If the target fails to resist the spell, it must obey the
commands of the caster for the duration of the spell.</p> <p>The controlled
creature shares a telepathic link with the sorcerer by which it can receive its
orders. If the sorcerer and the creature dominated do not share a common
language, the sorcerer can order it about, by forming a mental image of the
actions they wish the dominated creature to perform.</p>"
Energy Projection (Type),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Ranged, Instant, Resist (Dodge)","<p>Energy is either projected as a beam or a ball towards the target, who can
avoid the attack by Dodging.</p> <p>If the spell takes effect, the target takes
damage equal to double the magnitude of the spell. Physical armour does not
protect against the damage, but magical protection does. Types of energy that
can be projected by this spell are Cold (Dark), Lightning, Heat (Fire), Shards
of Rock (Earth), Windblast (Air).</p>"
Enhance (characteristic),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Touch,"<p>There are seven Enhance spells, one for each characteristic. Essentially the
reverse of the Diminish spell, Enhance allows the Sorcerer to temporarily apply
a bonus to the specified characteristic equal to the magnitude of the spell. A
creature must have the characteristic in question to be affected by this
spell.</p> <p>Applying a bonus to POW does not increase the character’s magic
points.</p>"
Fly,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,"Concentration, Resist (Persistence)","<p>Using this spell allows the caster (or whomever or whatever they target with
the spell) to fly.  The caster may levitate objects or characters (the caster
counting as one of these characters if they so wish).</p> <p>A levitated
character may not be overloaded and must have a SIZ characteristic which is
lower than the sorcerer’s POW characteristic.</p> <p>Objects must have an ENC
lower than the sorcerer’s POW characteristic.</p> <p>Character or objects moved
by this spell have a base Movement Rate of 6m. All objects and characters moved
by this spell move at the spell caster’s behest, not their own.</p> <p>Each
point of the spell’s magnitude may either be used to increase the target’s
Movement by +2m or to target an additional object or character – but not both. A
sorcerer casting this spell at magnitude 4 may fly themselves with a Movement of
14m, fly themselves and a friend with a Movement of 10m each, or fly themselves
and three friends with a Movement of 6m each.</p>"
Form/Set (Substance),9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Instant,"<p>There is an unlimited number of Form/Set spells in existence, one for every
substance imaginable, from steel to smoke to water.</p> <p>Each point of
magnitude allows the caster to shape one ENC of solid substance or one cubic
metre of an ethereal substance (like darkness). The caster must be familiar with
the shape they are forming.</p> <p>When the caster has finished the forming
process, the substance retains its shape. Rigid substances like steel will hold
the form they had at the end of the spell, while more mutable substances like
water will immediately lose their shape.</p> <p>This spell can be used to mend
the damage done to an object. The sorcerer must form the entire object and must
succeed at an appropriate Craft test.  If successful they will restore the item
to its original condition.</p> <p>This spell can only be used on inanimate
substances.</p>"
Glow,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This spell causes a glowing point of light to appear on a solid substance. At
its base, the spell creates an area of light one metre in radius, giving off the
same illumination as a candle. Each additional point of magnitude increases the
radius of effect by one metre. At magnitude 3, the brightness of the spell
increases to that of a flaming brand at its centre. At magnitude 5, it increases
to that of a camp-fire and at magnitude 10 to that of a bonfire.</p> <p>This
spell can be cast on an opponent’s eyes. If cast on a living being, the spell
also gains the Resist (Dodge) trait. If the target fails to resist it, they will
suffer a penalty to all attack, parry and Dodge tests, as well as any skills
relying upon vision, equal to five times the spell’s magnitude, until the spell
ends or is dispelled.</p>"
Hamper,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Resist (Resilience),"<p>Each point of magnitude of Hamper subtracts 1m from the Movement rate of the
target. Every two points of magnitude also subtract -10% from a recipient’s
skills for the purposes of determining the order in combat.</p>"
Haste,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>Each point of magnitude of Haste adds 1m to the Movement rate of the
recipient. Every two points of magnitude also add +10% to the recipient’s skills
for the purposes of determining the order in combat.</p>"
Holdfast,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Touch,"<p>This spell causes two adjacent ten centimetres by ten centimetre surfaces
(roughly the size of a person’s palm) to commingle into one. The basic bond has
a STR of 1. Each additional point of magnitude will either increase the STR of
the bond by +1 or double the area affected.</p> <p>This spell can affect organic
and inorganic substances. If the caster is attempting to bond a living being
with this spell, the spell gains the Resist (Resilience) trait.</p>"
Make Potion,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Permanent,"<p>Using the arts of alchemy, Sorcerers can store Sorcery spells in a liquid
known as a Potion.</p> <p>All potions have an attached cost of 1 Gold Ducat per
magnitude of spell in ingredients. Multiple spells may be stored in one potion,
with the understanding that they will all be cast when the potion is drunk at
the magnitude that the creator originally put into the potion.</p>"
Make Scroll,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Permanent,"<p>Magical scrolls are written items that store Sorcery spells. All scrolls have
an attached cost of 1 Gold Ducat per magnitude of spell in ingredients (for
special inks/parchments, etc.).</p> <p>The resulting scroll is a one-use item
which, upon a successful Sorcery Casting test, casts the spell(s) with any
included manipulations at the magnitude that was cast on the scroll.</p>
<p>Alternatively, upon a successful Sorcery Casting skill test, the reader of
the scroll can learn the spell by spending the appropriate number of <i>Growth
points</i>.</p> <p>Either way, upon the successful use of the scroll, the spell
fades from the scroll. If the casting roll merely fails, the spell remains, but
the reader cannot attempt to use the scroll until their Sorcery Casting skill
increases. If the casting roll is fumbled, the spell fades from the scroll,
without any benefit to the reader.</p>"
Make Spell Matrix,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Permanent,"<p>This spell creates items that store Sorcery spells.</p> <p>All spell matrices
have an attached cost of 10 Gold Ducats per spell in special materials.</p>
<p>The enchanter pays 1 Growth point per spell stored in the matrix.</p> <p>The
wielder can cast and manipulate the spell at the skill of the original
enchanter, using their own magic points as fuel.</p> <p>Spell matrices are
reusable and permanent.</p> <p>Spell matrices are mundane items in their own
right and if the item is broken, the spell is dispelled. However, at the time of
enchantment, the enchanter can spend another growth point to magically harden
the item, making it indestructible.</p>"
Mirage,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,,"<p>This is the Sorcerers’ version of Illusion.</p> <p>This spell creates an
illusion based on all five senses. The illusion will seem real and solid unless
the person looking at it succeeds in a Perception test, which is subject to a
modifier based on the magnitude of the spell. If the viewer succeeds in a
Perception test, and the illusion could usually cause damage if believed in, it
can no longer cause damage to that character. As soon as a viewer disbelieves
the illusion, it becomes insubstantial and ghost-like to them.</p> <p>The size
of the illusion is also governed by the magnitude. A magnitude 1 Illusion can be
used to create small household items, say a fake table and chair, but would not
be able to create an illusion of a fire-breathing dragon. </p> <table> <thead>
<tr> <th>Magnitude</th> <th>Modifier to Perception test</th> <th>Type of
illusion possible</th> </tr> </thead> <tbody> <tr> <td>1</td> <td>+50 %</td>
<td>Not capable of motion or causing damage. Slightly fuzzy and unreal around
the edges. Limit of SIZ 10.</td> </tr> <tr> <td>2</td> <td>+25 %</td> <td>Some
minor discrepancies. Capable of motion, but not of damage. Limit of SIZ 15.</td>
</tr> <tr> <td>3</td> <td>0</td> <td>Capable of motion and causing damage. Limit
of SIZ 20.</td> </tr> <tr> <td>4</td> <td>-25 %</td> <td>Capable of motion and
causing damage. Limit of SIZ 30.</td> </tr> <tr> <td>5</td> <td>-50 %</td>
<td>Indistinguishable from the real thing, capable of motion and damage. Limit
of SIZ 40.</td> </tr> <tr> <td>+1</td> <td>-50%</td> <td>+10 SIZ per
magnitude.</td> </tr> </tbody> </table>"
Mystic Vision,9nSgoZ4l88FtYgms,systems/oq/assets/icons/magic-swirl.svg,,FALSE,9nSgoZ4l88FtYgms,Concentration,"<p>This spell allows the recipient to literally see magic. By augmenting the
recipient’s natural vision, the spell allows them to see a creature’s magic
points, as well as enchanted items with their own magic points or spells. The
recipient must be able to see the creature or object for this spell to work.
Mystic Vision also allows a recipient to see into the Spirit World.</p> <p>On a
normal success, the recipient of the spell will only know roughly how many magic
points an object or creature has (1–10, 11–20, 21–30 and so forth). On a
critical, they will know the exact amount. On a fumble, the Referee should give
the player a misleading total.</p> <p>By looking at a spell’s effect, a
recipient of Mystic Vision will automatically be aware of its magical origin
(Divine Magic, Personal Magic, or Sorcery). By increasing the magnitude of
Mystic Vision, the caster can learn more about what they are seeing. Compare the
magnitude of Mystic Vision to the magnitude of any spell that the target is
either casting or under the influence of. As long as Mystic Vision’s magnitude
exceeds the other spell’s, the caster will be able to precisely determine the
effects of the perceived spell, and a mental image of who cast the spell (if it
is not obvious).</p> <p>By looking at an enchanted item, a recipient of Mystic
Vision will automatically be aware of its gross magical effects (such as the
types of enchantment currently on the item). Each point of magnitude of Mystic
Vision will also determine either the invested POW (and therefore the relevant
strength) of a particular enchantment or a particular condition laid upon an
enchantment (Referee’s choice).</p>"
